strip name,Section,Part,Side,front/rear,strip ID,length inches,length LEDs,Start LED,End LED,Installed,X LEDs per Y inches,"Cut, wired sealed tested",Installed,Anchored Placement,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Horn upper R,Upper,Head,R,Rear,0,18,27,0,27,,Zones,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Horn upper L,Upper,Head,L,Rear,1,18,27,28,55,,Center,TRUE,TRUE,FALSE,Section,COUNTA of strip name,SUM of length LEDs,MIN of Start LED,MAX of End LED,,,strip name,Values,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small upper horn R,Upper,Head,R,Rear,2,8,12,56,68,,Left,TRUE,TRUE,FALSE,Lower,6,114,203,322,,,Small upper horn R,,Small upper horn L,,Nose Upper Center,,Nose lower R,,Nose lower L,,Lower Small horn R,,Lower Small horn L,,Lower large horn R,,Lower large horn L,,Lower Jaw R,,Lower Jaw L,,Center Rear Upper,,Big Horn upper R,,Big Horn upper L,,
Small upper horn L,Upper,Head,L,Rear,3,8,12,69,81,,Right,TRUE,TRUE,FALSE,Upper,8,195,0,202,,Side,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,
Center Rear Upper,Upper,Head,C,Rear,4,12,18,82,100,,Lower,TRUE,TRUE,FALSE,Grand Total,14,309,0,322,,C,,,,,169,202,,,,,,,,,,,,,,,,,82,100,,,,,
Nose lower R,Upper,Nose,R,Front,5,22,33,101,134,,Lower Left,TRUE,TRUE,FALSE,,,,,,,L,,,69,81,,,,,135,168,,,310,322,,,278,296,,,231,258,,,,,28,55,
Nose lower L,Upper,Nose,L,Front,6,22,33,135,168,,Lower Right,TRUE,TRUE,FALSE,,,,,,,R,56,68,,,,,101,134,,,297,309,,,259,277,,,203,230,,,,,0,27,,,
Nose Upper Center,Upper,Nose,C,Front,7,22,33,169,202,,Upper Center,TRUE,TRUE,FALSE,Side,COUNTA of strip name,SUM of length LEDs,MIN of Start LED,MAX of End LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Jaw R,Lower,Chin,R,Front,8,18,27,203,230,,Upper,TRUE,TRUE,FALSE,C,2,51,82,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Jaw L,Lower,Chin,L,Front,9,18,27,231,258,,Upper Left,TRUE,TRUE,FALSE,L,6,129,28,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower large horn R,Lower,Jaw,R,Rear,10,12,18,259,277,,Upper Right,TRUE,TRUE,FALSE,R,6,129,0,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower large horn L,Lower,Jaw,L,Rear,11,12,18,278,296,,chin,TRUE,TRUE,FALSE,Grand Total,14,309,0,322,,,,strip name,Values,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Small horn R,Lower,Jaw,R,Rear,12,8,12,297,309,,chin left,TRUE,TRUE,FALSE,,,,,,,,,Small upper horn R,,Small upper horn L,,Nose Upper Center,,Nose lower R,,Nose lower L,,Lower Small horn R,,Lower Small horn L,,Lower large horn R,,Lower large horn L,,Lower Jaw R,,Lower Jaw L,,Center Rear Upper,,Big Horn upper R,,Big Horn upper L,
Lower Small horn L,Lower,Jaw,L,Rear,13,8,12,310,322,,chin right,TRUE,TRUE,FALSE,,,,,,,Section,Side,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED
,,,,,,,114,,,,Head,,,,front/rear,COUNTA of strip name,SUM of length LEDs,MIN of Start LED,MAX of End LED,,Lower,L,,,,,,,,,,,,,310,322,,,278,296,,,231,258,,,,,,
,,,,,,,,,,,Head Center,,,,Front,5,153,101,258,,,R,,,,,,,,,,,297,309,,,259,277,,,203,230,,,,,,,,
,,,,,,,,,,,Head Left,,,,Rear,9,156,0,322,,Upper,C,,,,,169,202,,,,,,,,,,,,,,,,,82,100,,,,
,,,,,,,,,,,Head Right,,,,Grand Total,14,309,0,322,,,L,,,69,81,,,,,135,168,,,,,,,,,,,,,,,,,28,55
,,,,,,,,,,,Jaw ,,,,,,,,,,,R,56,68,,,,,101,134,,,,,,,,,,,,,,,,,0,27,,
,,,,,,,,,,,Jaw Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Jaw Right,,,,Part,COUNTA of strip name,SUM of length LEDs,MIN of Start LED,MAX of End LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Nose,,,,Chin,2,54,203,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Nose center,,,,Head,5,96,0,100,,,,strip name,Values,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Nose Left,,,,Jaw,4,60,259,322,,,,Small upper horn R,,Small upper horn L,,Nose Upper Center,,Nose lower R,,Nose lower L,,Lower Small horn R,,Lower Small horn L,,Lower large horn R,,Lower large horn L,,Lower Jaw R,,Lower Jaw L,,Center Rear Upper,,Big Horn upper R,,Big Horn upper L,
,,,,,,,,,,,Nose Right,,,,Nose,3,99,101,202,,Part,Side,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED,MIN of Start LED,MIN of End LED
0,BigHornUpperR,27,0,"{""id"":",,,,,,,Front,,,,Grand Total,14,309,0,322,,Chin,L,,,,,,,,,,,,,,,,,,,,,231,258,,,,,,
1,BigHornUpperL,27,28,",""start"":",,,,,,,Front Center,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,203,230,,,,,,,,
2,SmallUpperHornR,12,56,",""stop"":",,,,,,,Front Left,,,,,,,,,,Head,C,,,,,,,,,,,,,,,,,,,,,,,82,100,,,,
